run,fitness,n_evaluations,experiment_id
0,228.000001,570,9
1,229.000001,540,9
2,226.000001,580,9
3,226.000001,680,9
4,226.000001,560,9
5,227.00000100000003,620,9
6,226.000001,660,9
7,228.000001,530,9
8,229.000001,570,9
9,226.000001,750,9
10,227.00000100000003,610,9
11,230.000001,620,9
12,234.000001,550,9
13,232.000001,720,9
14,231.000001,560,9
15,229.000001,650,9
16,220.000001,580,9
17,231.000001,590,9
18,229.000001,730,9
19,231.000001,560,9
20,230.000001,650,9
21,224.00000100000003,570,9
22,231.000001,580,9
23,230.000001,650,9
24,226.000001,540,9
25,226.000001,540,9
26,225.000001,590,9
27,231.000001,650,9
28,226.000001,570,9
29,222.000001,600,9
30,220.000001,590,9
