run,fitness,n_evaluations,experiment_id
0,12740,2650,7
1,7280,3450,7
2,216,6150,7
3,9100,2650,7
4,1820,3550,7
5,7280,3150,7
6,16380,2600,7
7,12740,2850,7
8,1820,2800,7
9,12740,2400,7
10,10920,2900,7
11,3640,3650,7
12,3640,3500,7
13,3640,4400,7
14,5460,3250,7
15,7280,2750,7
16,3640,3750,7
17,7280,2900,7
18,3640,3000,7
19,1820,3250,7
20,1820,3300,7
21,1820,3600,7
22,9100,3300,7
23,9100,3100,7
24,5460,2950,7
25,1820,3900,7
26,10920,3400,7
27,9100,2900,7
28,5460,3300,7
29,5460,3400,7
30,5460,3600,7
